1, throttle, 0, 23:04:55.669
2, throttle, 0, 23:04:55.717
3, throttle, 0, 23:04:55.765
4, throttle, 0, 23:04:55.826
5, throttle, 0, 23:04:55.879
6, throttle, 0, 23:04:55.924
7, throttle, 0, 23:04:55.966
8, throttle, 0, 23:04:56.006
9, throttle, 0, 23:04:56.048
10, throttle, 0, 23:04:56.089
11, throttle, 0, 23:04:56.135
12, throttle, 0, 23:04:56.175
13, throttle, 0, 23:04:56.215
14, throttle, 0, 23:04:56.253
15, throttle, 0, 23:04:56.295
16, throttle, 0, 23:04:56.336
17, throttle, 0, 23:04:56.378
18, throttle, 0, 23:04:56.419
19, throttle, 0, 23:04:56.459
20, throttle, 0, 23:04:56.499
21, throttle, 0, 23:04:56.542
22, throttle, 0, 23:04:56.584
23, throttle, 0, 23:04:56.625
24, throttle, 0, 23:04:56.670
25, throttle, 0, 23:04:56.715
26, throttle, 0, 23:04:56.763
27, throttle, 0, 23:04:56.828
28, throttle, 0, 23:04:56.893
29, throttle, 0, 23:04:56.950
30, throttle, 0, 23:04:57.009
31, throttle, 0, 23:04:57.068
32, throttle, 0, 23:04:57.108
33, throttle, 0, 23:04:57.149
34, throttle, 0, 23:04:57.189
35, throttle, 0, 23:04:57.228
36, throttle, 0, 23:04:57.272
37, throttle, 0, 23:04:57.316
38, throttle, 0, 23:04:57.357
39, throttle, 0, 23:04:57.407
40, throttle, 0, 23:04:57.453
41, throttle, 0, 23:04:57.497
42, throttle, 0, 23:04:57.538
43, throttle, 0, 23:04:57.577
44, throttle, 0, 23:04:57.627
45, throttle, 0, 23:04:57.667
46, throttle, 0, 23:04:57.708
47, throttle, 0, 23:04:57.753
48, throttle, 0, 23:04:57.815
49, throttle, 0, 23:04:57.876
50, throttle, 0, 23:04:57.929
51, throttle, 0, 23:04:57.986
52, throttle, 0, 23:04:58.046
1, rpm, 87, 23:04:55.669
2, rpm, 87, 23:04:55.717
3, rpm, 87, 23:04:55.765
4, rpm, 87, 23:04:55.826
5, rpm, 87, 23:04:55.879
6, rpm, 87, 23:04:55.924
7, rpm, 87, 23:04:55.966
8, rpm, 87, 23:04:56.006
9, rpm, 87, 23:04:56.048
10, rpm, 87, 23:04:56.089
11, rpm, 87, 23:04:56.135
12, rpm, 87, 23:04:56.175
13, rpm, 87, 23:04:56.215
